name,exterior,statTrak,souvenir,lowestPrice,marketHashName,quantity,dopplerClassName
Sticker | GeT_RiGhT | Berlin 2019,,False,False,0.24,Sticker | GeT_RiGhT | Berlin 2019,202,
Sticker | Fluxo (Glitter) | Paris 2023,,False,False,0.17,Sticker | Fluxo (Glitter) | Paris 2023,201,
XM1014 | Charter,FIELD_TESTED,False,False,0.68,XM1014 | Charter (Field-Tested),200,
P250 | Cassette,MINIMAL_WEAR,False,False,0.1,P250 | Cassette (Minimal Wear),200,
Galil AR | Akoben,FIELD_TESTED,False,False,0.18,Galil AR | Akoben (Field-Tested),200,
CS:GO Weapon Case 2,,False,False,10.84,CS:GO Weapon Case 2,199,
Sticker | Nemiga (Holo) | 2020 RMR,,False,False,0.3,Sticker | Nemiga (Holo) | 2020 RMR,198,
P250 | Valence,FIELD_TESTED,False,False,0.1,P250 | Valence (Field-Tested),196,
Sticker | FaZe | 2020 RMR,,False,False,0.1,Sticker | FaZe | 2020 RMR,196,
Glock-18 | Clear Polymer,FIELD_TESTED,False,False,0.17,Glock-18 | Clear Polymer (Field-Tested),193,
Sticker | Perfecto (Holo) | Stockholm 2021,,False,False,0.25,Sticker | Perfecto (Holo) | Stockholm 2021,190,
Sticker | Natus Vincere (Glitter) | Copenhagen 2024,,False,False,0.65,Sticker | Natus Vincere (Glitter) | Copenhagen 2024,189,
XM1014 | Slipstream,FACTORY_NEW,False,False,0.55,XM1014 | Slipstream (Factory New),189,
Operation Bravo Case,,False,False,38.47,Operation Bravo Case,189,
UMP-45 | Oscillator,FIELD_TESTED,False,False,0.15,UMP-45 | Oscillator (Field-Tested),188,
Sticker | Eternal Fire | Antwerp 2022,,False,False,0.2,Sticker | Eternal Fire | Antwerp 2022,187,
Operation Wildfire Case Key,,False,False,13.99,Operation Wildfire Case Key,187,
MAG-7 | BI83 Spectrum,FIELD_TESTED,False,False,1.9,MAG-7 | BI83 Spectrum (Field-Tested),186,
MAG-7 | Monster Call,WELL_WORN,False,False,0.16,MAG-7 | Monster Call (Well-Worn),186,
Five-SeveN | Coolant,MINIMAL_WEAR,False,False,0.12,Five-SeveN | Coolant (Minimal Wear),185,
Negev | Wall Bang,MINIMAL_WEAR,False,False,0.36,Negev | Wall Bang (Minimal Wear),185,
Sticker | MOUZ (Glitter) | Copenhagen 2024,,False,False,0.58,Sticker | MOUZ (Glitter) | Copenhagen 2024,184,
Sticker | BIG | Krakow 2017,,False,False,0.75,Sticker | BIG | Krakow 2017,184,
SSG 08 | Zeno,FIELD_TESTED,False,False,2.0,SSG 08 | Zeno (Field-Tested),183,
MAC-10 | Pipsqueak,FIELD_TESTED,False,False,1.19,MAC-10 | Pipsqueak (Field-Tested),182,
Sticker | Liquid (Holo) | 2020 RMR,,False,False,0.76,Sticker | Liquid (Holo) | 2020 RMR,182,
Dual Berettas | Colony,FIELD_TESTED,False,False,0.1,Dual Berettas | Colony (Field-Tested),182,
Sticker | High Heat,,False,False,1.51,Sticker | High Heat,181,
Sticker | GODSENT | Atlanta 2017,,False,False,2.82,Sticker | GODSENT | Atlanta 2017,180,
Dual Berettas | Flora Carnivora,FIELD_TESTED,False,False,0.22,Dual Berettas | Flora Carnivora (Field-Tested),180,
FAMAS | Half Sleeve,MINIMAL_WEAR,False,False,0.22,FAMAS | Half Sleeve (Minimal Wear),179,
Sticker | dexter | Paris 2023,,False,False,0.1,Sticker | dexter | Paris 2023,179,
Tec-9 | Red Quartz,MINIMAL_WEAR,False,False,0.12,Tec-9 | Red Quartz (Minimal Wear),178,
MP5-SD | Savannah Halftone,FIELD_TESTED,False,False,0.2,MP5-SD | Savannah Halftone (Field-Tested),177,
Sticker | ENCE (Holo) | Katowice 2019,,False,False,4.99,Sticker | ENCE (Holo) | Katowice 2019,177,
