name,slope
Paris_2023_Vertigo_Souvenir_Package,-0.002
Charm__Baby's_AK,-0.0021
MAC-10__Saibā_Oni_(Field-Tested),-0.0021
AK-47__Uncharted_(Minimal_Wear),-0.0022
Copenhagen_2024_Overpass_Souvenir_Package,-0.0023
Glock-18__Block-18_(Field-Tested),-0.0024
AK-47__Elite_Build_(Minimal_Wear),-0.0024
AK-47__Elite_Build_(Field-Tested),-0.0025
AWP__Acheron_(Minimal_Wear),-0.0025
AK-47__Slate_(Minimal_Wear),-0.0025
M4A1-S__Emphorosaur-S_(Minimal_Wear),-0.0025
Sticker__Bolt_Charge_(Foil),-0.0026
Name_Tag,-0.0026
AWP__Chromatic_Aberration_(Factory_New),-0.0027
Desert_Eagle__Serpent_Strike_(Minimal_Wear),-0.0028
USP-S__Black_Lotus_(Field-Tested),-0.0028
M4A1-S__Night_Terror_(Factory_New),-0.0029
Nova__Rising_Sun_(Field-Tested),-0.0029
Sticker__Bolt_Charge,-0.0029
M4A4__Evil_Daimyo_(Minimal_Wear),-0.003
Desert_Eagle__Serpent_Strike_(Field-Tested),-0.0031
M4A4__Magnesium_(Minimal_Wear),-0.0031
P90__Wave_Breaker_(Field-Tested),-0.0031
USP-S__Torque_(Factory_New),-0.0032
Glock-18__Block-18_(Factory_New),-0.0035
Sticker__Bad_News_Eagles_(Holo)__Paris_2023,-0.0035
AK-47__Slate_(Field-Tested),-0.0035
AWP__Black_Nile_(Field-Tested),-0.0035
USP-S__Ticket_to_Hell_(Field-Tested),-0.0035
Zeus_x27__Tosai_(Field-Tested),-0.0036
USP-S__Check_Engine_(Factory_New),-0.0036
AK-47__Crossfade_(Factory_New),-0.0037
MAG-7__Wildwood_(Factory_New),-0.004
USP-S__Cortex_(Field-Tested),-0.004
Zeus_x27__Tosai_(Minimal_Wear),-0.004
USP-S__Alpine_Camo_(Factory_New),-0.0041
AK-47__Crossfade_(Field-Tested),-0.0042
P250__Visions_(Field-Tested),-0.0043
AK-47__Slate_(Well-Worn),-0.0044
USP-S__Ticket_to_Hell_(Minimal_Wear),-0.0045
AWP__Chromatic_Aberration_(Minimal_Wear),-0.0046
Austin_2025_Legends_Sticker_Capsule,-0.0047
USP-S__Alpine_Camo_(Field-Tested),-0.0047
MP9__Food_Chain_(Field-Tested),-0.0047
StatTrak™_M4A1-S__Night_Terror_(Field-Tested),-0.0047
Fever_Case,-0.0048
M4A1-S__Hyper_Beast_(Minimal_Wear),-0.0048
StatTrak™_M4A1-S__Night_Terror_(Minimal_Wear),-0.0048
AWP__Hyper_Beast_(Field-Tested),-0.0048
P90__Wave_Breaker_(Minimal_Wear),-0.005
AWP__Duality_(Field-Tested),-0.0051
USP-S__PC-GRN_(Factory_New),-0.0052
StatTrak™_M4A1-S__Emphorosaur-S_(Field-Tested),-0.0053
USP-S__The_Traitor_(Field-Tested),-0.0053
Rio_2022_Dust_II_Souvenir_Package,-0.0054
Glock-18__Block-18_(Minimal_Wear),-0.0055
AWP__Atheris_(Minimal_Wear),-0.0055
AK-47__Slate_(Battle-Scarred),-0.0057
Glock-18__Umbral_Rabbit_(Minimal_Wear),-0.0058
StatTrak™_Glock-18__Umbral_Rabbit_(Minimal_Wear),-0.0058
M4A4__Tooth_Fairy_(Field-Tested),-0.0062
Desert_Eagle__Serpent_Strike_(Factory_New),-0.0063
M4A1-S__Player_Two_(Minimal_Wear),-0.0063
