name,doppler_phase,sales_in_last_x_days
Sticker | Into The Breach (Holo) | Paris 2023,,34
MP9 | Buff Blue (Factory New),,34
Lieutenant Rex Krikey | SEAL Frogman,,34
Tec-9 | Brother (Minimal Wear),,34
MP9 | Starlight Protector (Factory New),,34
USP-S | PC-GRN (Factory New),,34
R8 Revolver | Amber Fade (Factory New),,34
Sticker | G2 Esports (Holo) | Paris 2023,,34
Shanghai 2024 Champions Autograph Capsule,,34
MAC-10 | Neon Rider (Minimal Wear),,34
Desert Eagle | Mecha Industries (Minimal Wear),,34
Sticker | Boom Trail (Glitter),,34
Sticker | Broken Fang,,34
Galil AR | Metallic Squeezer (Field-Tested),,34
Sticker | FaZe Clan (Glitter) | Paris 2023,,34
M4A1-S | Decimator (Field-Tested),,34
M4A1-S | Emphorosaur-S (Field-Tested),,34
Sticker | PGL (Holo) | Copenhagen 2024,,33
Nova | Wood Fired (Field-Tested),,33
StatTrak™ USP-S | Ticket to Hell (Minimal Wear),,33
Sticker | SAW | Copenhagen 2024,,33
Sticker | rox (Glitter) | Antwerp 2022,,33
AK-47 | Neon Rider (Field-Tested),,33
M4A4 | Converter (Minimal Wear),,33
MP5-SD | Savannah Halftone (Battle-Scarred),,33
Souvenir MP5-SD | Lab Rats (Factory New),,33
AWP | Mortis (Field-Tested),,32
Glock-18 | Ocean Topo (Factory New),,32
SSG 08 | Dragonfire (Factory New),,32
M4A1-S | Nitro (Field-Tested),,32
StatTrak™ M4A1-S | Night Terror (Factory New),,32
M4A1-S | Wash me plz (Field-Tested),,32
Desert Eagle | Code Red (Field-Tested),,32
P90 | Wash me (Factory New),,32
AWP | Printstream (Battle-Scarred),,32
Sticker | ENCE (Holo) | Paris 2023,,32
Nova | Rising Sun (Field-Tested),,32
Zeus x27 | Electric Blue (Factory New),,32
M4A1-S | Golden Coil (Field-Tested),,32
USP-S | Neo-Noir (Minimal Wear),,32
Glock-18 | Gold Toof (Field-Tested),,32
AWP | Wildfire (Minimal Wear),,32
XM1014 | CaliCamo (Field-Tested),,32
Sticker | Taste Buddy (Holo),,32
Sir Bloody Silent Darryl | The Professionals,,31
AK-47 | Wintergreen (Field-Tested),,31
Glock-18 | Vogue (Factory New),,31
CS:GO Weapon Case 2,,31
Galil AR | Connexion (Minimal Wear),,31
Sticker | Boom Detonation (Glitter),,31
AK-47 | Searing Rage (Factory New),,31
AK-47 | The Outsiders (Minimal Wear),,31
Desert Eagle | Trigger Discipline (Factory New),,31
M4A4 | In Living Color (Minimal Wear),,31
StatTrak™ M4A1-S | Emphorosaur-S (Factory New),,31
Sticker | Boom Epicenter,,31
M4A4 | Tooth Fairy (Minimal Wear),,31
Operation Hydra Case Key,,30
Elite Trapper Solman | Guerrilla Warfare,,30
MAC-10 | Saibā Oni (Minimal Wear),,30
M4A4 | Evil Daimyo (Factory New),,30
Glock-18 | Bullet Queen (Minimal Wear),,30
MAG-7 | Carbon Fiber (Factory New),,30
Sticker | Hypnoteyes (Holo),,30
Cmdr. Frank 'Wet Sox' Baroud | SEAL Frogman,,30
Sticker | Natus Vincere (Holo) | 2020 RMR,,30
AK-47 | Elite Build (Field-Tested),,30
AWP | Acheron (Field-Tested),,30
Dual Berettas | Hideout (Minimal Wear),,30
M4A4 | 龍王 (Dragon King) (Minimal Wear),,30
AK-47 | Wintergreen (Factory New),,30
Negev | Wall Bang (Field-Tested),,30
USP-S | Whiteout (Field-Tested),,30
Galil AR | Connexion (Factory New),,30
"Sticker | iM (Holo, Champion) | Copenhagen 2024",,30
Sticker | Red Shades (Foil),,30
AWP | Phobos (Factory New),,30
R8 Revolver | Bone Forged (Field-Tested),,30
P250 | Franklin (Minimal Wear),,29
Glock-18 | Block-18 (Minimal Wear),,29
M4A4 | The Emperor (Minimal Wear),,29
MAG-7 | Foresight (Factory New),,29
USP-S | Black Lotus (Factory New),,29
MAC-10 | Calf Skin (Minimal Wear),,29
AK-47 | Midnight Laminate (Factory New),,29
MAG-7 | Resupply (Minimal Wear),,29
MP7 | Bloodsport (Minimal Wear),,29
StatTrak™ M4A1-S | Night Terror (Minimal Wear),,29
M4A1-S | Player Two (Field-Tested),,29
P2000 | Imperial (Factory New),,29
MAC-10 | Sakkaku (Field-Tested),,29
Tec-9 | Slag (Minimal Wear),,29
